Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
MDW,"Chicago, IL: Chicago Midway International",787,300,3,51,27,1607,21,5781
MIA,"Miami, FL: Miami International",318,366,2,27,36,1013,11,6001
MSP,"Minneapolis, MN: Minneapolis-St Paul International",458,400,6,33,91,1250,20,7240
ORD,"Chicago, IL: Chicago O'Hare International",1866,2615,7,115,536,5456,83,17159
PDX,"Portland, OR: Portland International",326,142,3,10,19,678,3,3915
PHL,"Philadelphia, PA: Philadelphia International",301,449,2,36,49,1129,5,5096
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",980,558,3,25,117,2259,11,11174
SAN,"San Diego, CA: San Diego International",626,254,1,15,57,1292,7,4899
SEA,"Seattle, WA: Seattle/Tacoma International",438,333,2,14,20,1137,7,7274
SFO,"San Francisco, CA: San Francisco International",999,1251,3,55,202,2908,15,10609
SLC,"Salt Lake City, UT: Salt Lake City International",453,218,1,18,39,1022,8,7659
TPA,"Tampa, FL: Tampa International",401,399,1,21,16,1185,4,4677
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2052,1624,7,130,172,5135,26,26466
BOS,"Boston, MA: Logan International",654,633,3,68,141,1899,7,7487
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",874,382,6,73,66,1905,18,6095
CLT,"Charlotte, NC: Charlotte Douglas International",462,557,3,41,139,1561,44,7882
DCA,"Washington, DC: Ronald Reagan Washington National",389,418,4,37,138,1173,8,4759
DEN,"Denver, CO: Denver International",1644,1423,1,146,412,4224,131,14230
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1650,1187,7,222,756,4056,175,18631
DTW,"Detroit, MI: Detroit Metro Wayne County",552,420,2,42,125,1438,32,7683
EWR,"Newark, NJ: Newark Liberty International",671,1589,1,66,515,2733,25,5773
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",392,280,2,15,52,1031,22,4125
IAD,"Washington, DC: Washington Dulles International",483,277,2,22,180,1076,17,3832
IAH,"Houston, TX: George Bush Intercontinental/Houston",1304,1036,0,106,477,3215,103,11536
JFK,"New York, NY: John F. Kennedy International",526,977,4,53,154,2029,61,6233
LAS,"Las Vegas, NV: McCarran International",1241,447,0,43,75,2448,11,9575
LAX,"Los Angeles, CA: Los Angeles International",1617,1199,6,111,201,3921,15,15280
LGA,"New York, NY: LaGuardia",557,1453,1,94,350,2552,58,6110
MCO,"Orlando, FL: Orlando International",705,606,6,36,94,1981,27,7491
MDW,"Chicago, IL: Chicago Midway International",876,391,4,79,109,1905,98,5544
MIA,"Miami, FL: Miami International",409,356,1,35,66,1127,51,5884
MSP,"Minneapolis, MN: Minneapolis-St Paul International",489,392,4,49,79,1347,16,7401
ORD,"Chicago, IL: Chicago O'Hare International",2483,3327,8,159,1188,7137,235,16074
PDX,"Portland, OR: Portland International",355,176,1,16,31,812,5,3978
PHL,"Philadelphia, PA: Philadelphia International",328,517,2,53,58,1266,18,5081
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1058,499,4,51,109,2346,9,11302
SAN,"San Diego, CA: San Diego International",667,202,1,22,73,1342,3,5032
SEA,"Seattle, WA: Seattle/Tacoma International",509,382,4,27,29,1354,5,7820
SFO,"San Francisco, CA: San Francisco International",1153,1777,5,87,227,3704,18,10215
SLC,"Salt Lake City, UT: Salt Lake City International",490,184,0,26,55,1034,4,7711
TPA,"Tampa, FL: Tampa International",430,330,1,31,37,1168,53,4347
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2524,2085,7,231,160,6226,138,24421
BOS,"Boston, MA: Logan International",820,755,5,99,141,2279,6,7236
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",871,409,1,107,78,1924,30,5962
CLT,"Charlotte, NC: Charlotte Douglas International",514,596,5,71,104,1684,15,7120
DCA,"Washington, DC: Ronald Reagan Washington National",445,537,4,59,126,1379,25,4300
DEN,"Denver, CO: Denver International",2053,1459,3,148,232,4810,158,14508
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3103,1970,7,365,628,6723,117,16304
DTW,"Detroit, MI: Detroit Metro Wayne County",704,389,3,74,125,1619,6,7411
EWR,"Newark, NJ: Newark Liberty International",1001,1348,1,82,357,2950,26,6383
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",403,313,3,31,57,1145,25,3863
IAD,"Washington, DC: Washington Dulles International",576,365,1,40,163,1308,11,3454
IAH,"Houston, TX: George Bush Intercontinental/Houston",1634,1487,0,130,507,4133,97,10381
JFK,"New York, NY: John F. Kennedy International",531,1067,3,60,134,2135,17,6295
LAS,"Las Vegas, NV: McCarran International",1502,635,6,58,77,3086,8,8622
LAX,"Los Angeles, CA: Los Angeles International",1991,1680,15,136,238,5208,16,13985
LGA,"New York, NY: LaGuardia",673,1503,1,114,358,2757,36,5952
MCO,"Orlando, FL: Orlando International",798,508,3,77,86,2046,61,7295
MDW,"Chicago, IL: Chicago Midway International",969,475,1,132,69,2070,110,5600
MIA,"Miami, FL: Miami International",470,425,0,55,52,1287,75,5309
MSP,"Minneapolis, MN: Minneapolis-St Paul International",873,657,3,96,110,2228,51,7503
ORD,"Chicago, IL: Chicago O'Hare International",3333,4113,6,230,1496,9004,175,14706
PDX,"Portland, OR: Portland International",481,266,2,26,21,1142,5,3652
PHL,"Philadelphia, PA: Philadelphia International",403,638,5,72,140,1544,11,4526
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1413,675,7,60,147,3151,10,10496
SAN,"San Diego, CA: San Diego International",819,348,5,40,73,1779,8,4882
SEA,"Seattle, WA: Seattle/Tacoma International",708,715,4,45,35,2123,7,7976
SFO,"San Francisco, CA: San Francisco International",1394,2051,4,146,501,4560,19,9292
SLC,"Salt Lake City, UT: Salt Lake City International",623,266,1,35,60,1391,7,8045
TPA,"Tampa, FL: Tampa International",541,235,1,48,36,1223,18,3958
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1837,1318,2,179,146,4685,94,26873
BOS,"Boston, MA: Logan International",1055,851,4,97,181,2652,13,7252
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",903,425,2,126,92,1987,23,6071
CLT,"Charlotte, NC: Charlotte Douglas International",538,689,1,68,135,1903,21,7154
DCA,"Washington, DC: Ronald Reagan Washington National",365,553,0,56,170,1330,43,4453
DEN,"Denver, CO: Denver International",1815,1731,3,178,247,4826,143,15557
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2540,1687,7,204,594,5557,111,18204
DTW,"Detroit, MI: Detroit Metro Wayne County",553,301,0,53,131,1364,27,8171
EWR,"Newark, NJ: Newark Liberty International",799,1192,2,98,477,2559,74,6737
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",455,581,3,45,64,1549,14,3578
IAD,"Washington, DC: Washington Dulles International",454,349,1,35,169,1107,28,3824
IAH,"Houston, TX: George Bush Intercontinental/Houston",1372,976,1,109,262,3257,90,12002
JFK,"New York, NY: John F. Kennedy International",765,1183,5,75,326,2540,72,6147
LAS,"Las Vegas, NV: McCarran International",1307,552,5,83,75,2724,12,9253
LAX,"Los Angeles, CA: Los Angeles International",1777,1241,8,151,208,4376,16,15770
LGA,"New York, NY: LaGuardia",626,1039,1,92,530,2241,55,6550
MCO,"Orlando, FL: Orlando International",870,806,5,110,102,2570,38,7071
MDW,"Chicago, IL: Chicago Midway International",892,305,5,51,62,1728,14,6400
MIA,"Miami, FL: Miami International",558,671,4,61,59,1681,64,5152
MSP,"Minneapolis, MN: Minneapolis-St Paul International",610,429,2,45,78,1572,25,8445
ORD,"Chicago, IL: Chicago O'Hare International",2601,2198,4,176,526,6148,13,19198
PDX,"Portland, OR: Portland International",516,154,2,28,18,1015,0,4020
PHL,"Philadelphia, PA: Philadelphia International",360,626,3,89,113,1496,21,4727
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1415,689,4,77,178,3149,86,10857
SAN,"San Diego, CA: San Diego International",758,283,2,32,76,1658,4,5455
SEA,"Seattle, WA: Seattle/Tacoma International",850,589,4,51,34,2110,11,8592
SFO,"San Francisco, CA: San Francisco International",1453,1941,3,141,405,4358,19,10169
SLC,"Salt Lake City, UT: Salt Lake City International",630,235,2,32,36,1361,3,8631
TPA,"Tampa, FL: Tampa International",538,323,2,54,31,1378,24,3949
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1769,1668,1,141,287,4944,155,26222
BOS,"Boston, MA: Logan International",737,574,12,71,65,1984,7,7876
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",760,327,2,72,26,1643,15,6186
CLT,"Charlotte, NC: Charlotte Douglas International",398,489,4,54,56,1373,6,7580
DCA,"Washington, DC: Ronald Reagan Washington National",372,430,1,42,73,1221,16,4898
DEN,"Denver, CO: Denver International",1723,1219,2,109,205,4033,114,15832
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2364,1527,5,170,458,5220,182,18210
DTW,"Detroit, MI: Detroit Metro Wayne County",565,427,3,49,58,1531,21,7946
EWR,"Newark, NJ: Newark Liberty International",751,870,0,74,148,2145,20,7230
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",326,437,4,31,19,1146,36,3569
IAD,"Washington, DC: Washington Dulles International",426,293,2,40,51,1010,13,3986
IAH,"Houston, TX: George Bush Intercontinental/Houston",1053,898,2,100,117,2711,36,11824
JFK,"New York, NY: John F. Kennedy International",564,884,6,58,54,1990,11,6993
LAS,"Las Vegas, NV: McCarran International",1015,512,2,72,45,2254,8,9555
LAX,"Los Angeles, CA: Los Angeles International",1535,1262,11,126,156,4104,22,15147
LGA,"New York, NY: LaGuardia",596,920,2,78,208,2142,45,6857
MCO,"Orlando, FL: Orlando International",655,636,6,73,31,2020,60,6858
MDW,"Chicago, IL: Chicago Midway International",740,536,3,100,25,1785,50,5974
MIA,"Miami, FL: Miami International",414,454,1,47,45,1242,36,5486
MSP,"Minneapolis, MN: Minneapolis-St Paul International",622,499,7,67,47,1681,9,8332
ORD,"Chicago, IL: Chicago O'Hare International",2986,3869,3,191,951,8217,108,16441
PDX,"Portland, OR: Portland International",359,172,1,24,23,833,6,4220
PHL,"Philadelphia, PA: Philadelphia International",335,469,3,65,29,1287,8,4931
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",997,632,4,51,104,2457,43,10960
SAN,"San Diego, CA: San Diego International",636,230,2,28,45,1351,8,5524
SEA,"Seattle, WA: Seattle/Tacoma International",694,605,8,43,43,1885,5,9058
SFO,"San Francisco, CA: San Francisco International",1258,1615,6,117,266,3705,12,10783
SLC,"Salt Lake City, UT: Salt Lake City International",542,263,3,40,47,1254,16,8726
TPA,"Tampa, FL: Tampa International",340,295,3,47,19,1054,13,3896
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1965,2500,1,97,136,5801,72,24189
BOS,"Boston, MA: Logan International",378,498,3,33,69,1288,9,7739
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",550,306,2,31,44,1216,25,5998
CLT,"Charlotte, NC: Charlotte Douglas International",307,580,2,29,61,1306,6,7777
DCA,"Washington, DC: Ronald Reagan Washington National",241,372,0,22,82,915,15,4979
DEN,"Denver, CO: Denver International",1156,969,5,54,111,2881,40,15875
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1951,1560,5,95,195,4468,28,18332
DTW,"Detroit, MI: Detroit Metro Wayne County",351,358,2,20,87,1074,42,7736
EWR,"Newark, NJ: Newark Liberty International",512,850,1,48,107,1780,10,6743
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",196,283,2,16,18,719,6,3322
IAD,"Washington, DC: Washington Dulles International",329,320,0,27,46,870,16,3925
IAH,"Houston, TX: George Bush Intercontinental/Houston",770,1017,0,65,201,2338,70,10897
JFK,"New York, NY: John F. Kennedy International",337,808,5,46,43,1534,9,6697
LAS,"Las Vegas, NV: McCarran International",671,495,5,66,56,1758,22,9389
LAX,"Los Angeles, CA: Los Angeles International",1000,808,6,59,133,2637,9,14806
LGA,"New York, NY: LaGuardia",397,621,1,43,124,1416,13,6998
MCO,"Orlando, FL: Orlando International",380,422,2,25,32,1250,26,6366
MDW,"Chicago, IL: Chicago Midway International",450,699,1,63,334,1479,53,5545
MIA,"Miami, FL: Miami International",209,315,2,22,26,863,16,5314
MSP,"Minneapolis, MN: Minneapolis-St Paul International",371,360,1,26,81,1101,2,7667
ORD,"Chicago, IL: Chicago O'Hare International",1829,2960,9,115,1780,5724,78,17323
PDX,"Portland, OR: Portland International",242,152,4,10,16,623,1,3551
PHL,"Philadelphia, PA: Philadelphia International",232,494,2,28,38,1047,4,4733
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",635,496,10,36,100,1698,56,10278
SAN,"San Diego, CA: San Diego International",402,207,2,22,48,946,4,5230
SEA,"Seattle, WA: Seattle/Tacoma International",476,403,3,25,25,1260,13,8016
SFO,"San Francisco, CA: San Francisco International",939,1811,9,69,200,3429,15,10227
SLC,"Salt Lake City, UT: Salt Lake City International",382,217,3,25,31,906,9,8162
TPA,"Tampa, FL: Tampa International",225,203,1,16,21,717,7,3827
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2019,1524,0,52,84,4762,21,26746
BOS,"Boston, MA: Logan International",534,1102,3,75,82,2163,9,7419
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",587,326,2,14,23,1305,7,6268
CLT,"Charlotte, NC: Charlotte Douglas International",398,505,3,19,55,1313,43,8335
DCA,"Washington, DC: Ronald Reagan Washington National",353,417,1,26,70,1083,10,5348
DEN,"Denver, CO: Denver International",1273,908,3,49,80,2990,39,16302
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2392,2133,4,167,498,5752,112,17161
DTW,"Detroit, MI: Detroit Metro Wayne County",557,451,0,25,55,1448,4,8134
EWR,"Newark, NJ: Newark Liberty International",539,738,0,30,49,1721,11,6850
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",245,183,0,16,8,740,3,3774
IAD,"Washington, DC: Washington Dulles International",442,338,1,18,27,1064,4,3960
IAH,"Houston, TX: George Bush Intercontinental/Houston",972,885,1,51,191,2528,73,11965
JFK,"New York, NY: John F. Kennedy International",441,944,1,35,30,1789,22,6795
LAS,"Las Vegas, NV: McCarran International",738,435,4,23,36,1736,8,10002
LAX,"Los Angeles, CA: Los Angeles International",1076,945,7,61,114,2950,21,15111
LGA,"New York, NY: LaGuardia",568,1099,1,47,148,2169,15,6653
MCO,"Orlando, FL: Orlando International",496,311,5,17,17,1334,4,7046
MDW,"Chicago, IL: Chicago Midway International",600,943,0,42,169,1938,7,5736
MIA,"Miami, FL: Miami International",247,238,2,20,33,773,6,5582
MSP,"Minneapolis, MN: Minneapolis-St Paul International",461,510,0,14,40,1341,4,7719
ORD,"Chicago, IL: Chicago O'Hare International",2441,5570,3,90,1000,9148,21,16141
PDX,"Portland, OR: Portland International",252,202,1,6,7,692,2,3444
PHL,"Philadelphia, PA: Philadelphia International",313,616,1,18,32,1293,6,4674
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",716,497,3,16,78,1872,8,11388
SAN,"San Diego, CA: San Diego International",422,223,0,15,48,1002,6,5472
SEA,"Seattle, WA: Seattle/Tacoma International",449,501,2,25,26,1402,10,7794
SFO,"San Francisco, CA: San Francisco International",987,1596,3,70,180,3362,27,10920
SLC,"Salt Lake City, UT: Salt Lake City International",352,207,0,11,25,876,5,8327
TPA,"Tampa, FL: Tampa International",286,151,1,15,9,755,5,4232
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1227,1175,5,61,47,3420,17,25812
BOS,"Boston, MA: Logan International",561,546,2,45,51,1602,3,7364
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",509,194,0,15,54,1023,6,6013
CLT,"Charlotte, NC: Charlotte Douglas International",370,605,2,22,63,1411,5,7701
DCA,"Washington, DC: Ronald Reagan Washington National",336,397,1,30,67,1077,5,5239
DEN,"Denver, CO: Denver International",1285,1179,1,101,172,3317,46,13761
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2128,1674,4,115,330,4977,74,16290
DTW,"Detroit, MI: Detroit Metro Wayne County",545,459,0,33,68,1413,20,7471
EWR,"Newark, NJ: Newark Liberty International",512,783,0,44,124,1719,10,7072
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",279,427,4,26,28,1043,1,4276
IAD,"Washington, DC: Washington Dulles International",324,191,0,14,32,712,9,3659
IAH,"Houston, TX: George Bush Intercontinental/Houston",724,903,0,53,71,2216,26,11733
JFK,"New York, NY: John F. Kennedy International",395,601,1,20,50,1354,8,6655
LAS,"Las Vegas, NV: McCarran International",738,457,1,37,29,1736,11,8913
LAX,"Los Angeles, CA: Los Angeles International",1182,1055,5,90,131,3124,11,13779
LGA,"New York, NY: LaGuardia",496,1034,0,65,209,2053,15,6544
MCO,"Orlando, FL: Orlando International",457,738,7,31,40,1740,18,7096
MDW,"Chicago, IL: Chicago Midway International",488,203,2,4,42,1002,6,5965
MIA,"Miami, FL: Miami International",268,499,0,18,24,1133,6,5081
MSP,"Minneapolis, MN: Minneapolis-St Paul International",530,601,3,46,109,1581,12,6578
ORD,"Chicago, IL: Chicago O'Hare International",2160,1838,4,96,438,5093,16,18017
PDX,"Portland, OR: Portland International",312,211,0,8,16,774,1,3030
PHL,"Philadelphia, PA: Philadelphia International",261,542,2,30,34,1128,4,4502
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",653,433,4,21,52,1673,7,10849
SAN,"San Diego, CA: San Diego International",478,163,1,21,44,983,32,5009
SEA,"Seattle, WA: Seattle/Tacoma International",478,593,1,36,25,1532,5,7024
SFO,"San Francisco, CA: San Francisco International",1005,1846,0,101,257,3578,35,9373
SLC,"Salt Lake City, UT: Salt Lake City International",452,333,1,17,55,1152,2,7248
TPA,"Tampa, FL: Tampa International",320,361,0,28,25,1024,6,4314
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1476,1055,2,50,116,3770,27,26087
BOS,"Boston, MA: Logan International",602,744,0,31,44,1912,10,6906
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",648,225,1,11,34,1273,9,6066
CLT,"Charlotte, NC: Charlotte Douglas International",370,597,5,7,43,1412,3,8048
DCA,"Washington, DC: Ronald Reagan Washington National",352,315,3,18,66,1005,12,5377
DEN,"Denver, CO: Denver International",1822,1386,7,103,343,4411,13,13439
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3081,1939,10,114,700,6509,85,15764
DTW,"Detroit, MI: Detroit Metro Wayne County",491,272,0,23,78,1143,4,7471
EWR,"Newark, NJ: Newark Liberty International",658,1538,2,32,143,2753,12,6232
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",355,277,4,11,20,1136,4,4874
IAD,"Washington, DC: Washington Dulles International",360,272,1,10,35,937,4,3344
IAH,"Houston, TX: George Bush Intercontinental/Houston",1133,1272,0,45,110,3365,35,10633
JFK,"New York, NY: John F. Kennedy International",511,1016,5,33,33,2018,8,6531
LAS,"Las Vegas, NV: McCarran International",1255,865,9,85,116,2965,20,7649
LAX,"Los Angeles, CA: Los Angeles International",1918,1870,7,99,262,5228,52,12280
LGA,"New York, NY: LaGuardia",530,1320,4,55,212,2387,20,6598
MCO,"Orlando, FL: Orlando International",669,561,10,11,25,1935,1,7796
MDW,"Chicago, IL: Chicago Midway International",644,202,4,16,42,1241,12,5894
MIA,"Miami, FL: Miami International",435,482,2,18,30,1396,11,5451
MSP,"Minneapolis, MN: Minneapolis-St Paul International",498,403,3,26,64,1339,7,7014
ORD,"Chicago, IL: Chicago O'Hare International",2097,1514,2,56,382,4763,11,18328
PDX,"Portland, OR: Portland International",432,243,2,12,27,979,16,2874
PHL,"Philadelphia, PA: Philadelphia International",301,687,2,24,30,1376,3,4320
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1174,880,4,18,90,2971,7,10230
SAN,"San Diego, CA: San Diego International",828,345,4,17,89,1746,14,4490
SEA,"Seattle, WA: Seattle/Tacoma International",734,625,4,29,36,1914,10,7031
SFO,"San Francisco, CA: San Francisco International",1468,3368,2,150,810,5721,102,7194
SLC,"Salt Lake City, UT: Salt Lake City International",644,405,2,28,95,1546,5,7179
TPA,"Tampa, FL: Tampa International",401,286,1,17,12,1166,6,4592
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1422,1539,5,133,287,4331,33,24841
BOS,"Boston, MA: Logan International",691,651,2,83,658,1970,10,6203
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",550,290,1,31,163,1266,12,5472
CLT,"Charlotte, NC: Charlotte Douglas International",386,616,4,41,165,1500,6,7680
DCA,"Washington, DC: Ronald Reagan Washington National",371,428,4,52,306,1221,12,5141
DEN,"Denver, CO: Denver International",1485,1290,4,104,295,3885,31,12848
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2232,1687,13,130,570,5293,13,17297
DTW,"Detroit, MI: Detroit Metro Wayne County",622,540,1,68,213,1704,3,7548
EWR,"Newark, NJ: Newark Liberty International",595,751,3,58,674,1865,10,6156
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",397,516,5,52,149,1414,5,5602
IAD,"Washington, DC: Washington Dulles International",319,248,1,33,88,855,7,2750
IAH,"Houston, TX: George Bush Intercontinental/Houston",842,1045,1,84,182,2684,50,10462
JFK,"New York, NY: John F. Kennedy International",616,902,2,53,469,2009,10,5973
LAS,"Las Vegas, NV: McCarran International",803,494,3,72,94,1924,11,9585
LAX,"Los Angeles, CA: Los Angeles International",1187,815,6,115,260,3024,21,14027
LGA,"New York, NY: LaGuardia",641,1368,4,85,848,2616,50,5998
MCO,"Orlando, FL: Orlando International",692,657,4,64,188,2074,10,7803
MDW,"Chicago, IL: Chicago Midway International",525,321,3,40,210,1240,63,5233
MIA,"Miami, FL: Miami International",436,522,3,63,133,1448,22,5090
MSP,"Minneapolis, MN: Minneapolis-St Paul International",518,542,3,60,118,1578,5,7205
ORD,"Chicago, IL: Chicago O'Hare International",2439,2787,7,136,1218,6551,20,15726
PDX,"Portland, OR: Portland International",249,126,0,19,19,632,13,2972
PHL,"Philadelphia, PA: Philadelphia International",313,643,1,42,310,1314,11,4149
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",711,722,7,90,115,2226,15,10764
SAN,"San Diego, CA: San Diego International",485,167,1,25,47,1030,2,5005
SEA,"Seattle, WA: Seattle/Tacoma International",566,475,0,79,67,1544,42,6773
SFO,"San Francisco, CA: San Francisco International",986,1116,1,99,307,2850,36,9690
SLC,"Salt Lake City, UT: Salt Lake City International",479,289,2,45,76,1191,5,7354
TPA,"Tampa, FL: Tampa International",343,345,2,39,100,1118,2,4746
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1742,1301,1,273,1004,4662,19,21681
BOS,"Boston, MA: Logan International",904,1104,0,115,1123,2739,20,4501
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",499,237,1,58,341,1152,29,4715
CLT,"Charlotte, NC: Charlotte Douglas International",436,535,2,74,503,1503,11,6282
DCA,"Washington, DC: Ronald Reagan Washington National",438,434,2,82,545,1365,19,4303
DEN,"Denver, CO: Denver International",1266,1389,1,187,408,3742,41,11447
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1555,1398,11,176,2077,4092,25,14645
DTW,"Detroit, MI: Detroit Metro Wayne County",749,642,2,95,411,2039,10,6307
EWR,"Newark, NJ: Newark Liberty International",545,674,1,80,641,1787,10,5641
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",490,562,6,89,212,1706,8,4771
IAD,"Washington, DC: Washington Dulles International",230,195,1,32,140,656,7,2195
IAH,"Houston, TX: George Bush Intercontinental/Houston",759,757,1,135,261,2270,16,9681
JFK,"New York, NY: John F. Kennedy International",857,701,5,48,488,2131,46,5070
LAS,"Las Vegas, NV: McCarran International",804,608,3,90,163,2073,7,8323
LAX,"Los Angeles, CA: Los Angeles International",1078,1161,6,216,354,3377,35,11998
LGA,"New York, NY: LaGuardia",818,1512,6,145,1050,3123,64,4708
MCO,"Orlando, FL: Orlando International",662,718,4,107,281,2244,7,6701
MDW,"Chicago, IL: Chicago Midway International",393,330,1,42,438,1111,23,4472
MIA,"Miami, FL: Miami International",353,495,2,81,188,1345,23,4444
MSP,"Minneapolis, MN: Minneapolis-St Paul International",595,493,0,97,178,1688,6,6343
ORD,"Chicago, IL: Chicago O'Hare International",2522,2689,2,232,1747,6606,35,13426
PDX,"Portland, OR: Portland International",225,121,0,20,29,549,1,2615
PHL,"Philadelphia, PA: Philadelphia International",351,389,1,37,246,1145,20,3798
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",716,634,4,105,187,2128,30,9562
SAN,"San Diego, CA: San Diego International",458,212,0,57,105,1119,9,4245
SEA,"Seattle, WA: Seattle/Tacoma International",454,364,3,47,76,1213,10,6423
SFO,"San Francisco, CA: San Francisco International",831,1348,3,140,370,2929,36,8220
SLC,"Salt Lake City, UT: Salt Lake City International",431,246,2,58,66,1108,3,6689
TPA,"Tampa, FL: Tampa International",388,334,0,48,155,1206,1,4095
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2025,1533,5,121,298,5181,23,27273
BOS,"Boston, MA: Logan International",837,638,1,60,238,2232,28,7482
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",567,259,3,23,342,1271,28,6122
CLT,"Charlotte, NC: Charlotte Douglas International",446,644,3,33,125,1548,6,7704
DCA,"Washington, DC: Ronald Reagan Washington National",432,436,2,29,362,1340,33,5269
DEN,"Denver, CO: Denver International",1322,868,6,64,173,3156,25,15263
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2136,1365,3,109,1199,4866,18,17125
DTW,"Detroit, MI: Detroit Metro Wayne County",729,497,3,30,174,1738,6,8361
EWR,"Newark, NJ: Newark Liberty International",590,867,0,35,563,2035,29,6939
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",550,474,6,41,128,1645,9,6006
IAD,"Washington, DC: Washington Dulles International",197,141,0,12,82,548,2,2401
IAH,"Houston, TX: George Bush Intercontinental/Houston",918,880,3,84,240,2633,34,11141
JFK,"New York, NY: John F. Kennedy International",742,1120,3,45,406,2379,57,5999
LAS,"Las Vegas, NV: McCarran International",861,595,4,60,96,2173,18,10108
LAX,"Los Angeles, CA: Los Angeles International",1256,1957,6,137,196,4338,37,13435
LGA,"New York, NY: LaGuardia",705,1594,2,85,747,3051,97,6254
MCO,"Orlando, FL: Orlando International",782,706,2,61,150,2398,9,8734
MDW,"Chicago, IL: Chicago Midway International",518,268,1,49,275,1240,60,5866
MIA,"Miami, FL: Miami International",439,456,2,37,126,1402,3,5235
MSP,"Minneapolis, MN: Minneapolis-St Paul International",541,530,4,38,103,1597,8,8232
ORD,"Chicago, IL: Chicago O'Hare International",1871,2238,2,148,757,5374,30,19961
PDX,"Portland, OR: Portland International",218,83,2,12,15,553,15,3316
PHL,"Philadelphia, PA: Philadelphia International",334,559,4,27,262,1264,31,4446
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",852,694,4,43,105,2290,26,12102
SAN,"San Diego, CA: San Diego International",441,187,0,23,67,1039,35,5448
SEA,"Seattle, WA: Seattle/Tacoma International",532,337,1,40,24,1313,18,7911
SFO,"San Francisco, CA: San Francisco International",825,864,0,82,175,2421,37,10798
SLC,"Salt Lake City, UT: Salt Lake City International",461,269,0,29,32,1135,2,8306
TPA,"Tampa, FL: Tampa International",476,313,2,26,86,1310,7,5452
